house_id,monthly_units,house_type,city,family_members,rooms,ac_count,refrigerator,washing_machine,geyser,laptop_count,tv_count,work_from_home,solar_panel,electricity_bill
1,182,Villa,Tier_2,1,1,2,1,1,0,2,2,Yes,No,4205.14
2,515,Apartment,Tier_1,6,6,0,0,0,0,4,2,No,Yes,4286.18
3,350,Independent House,Tier_3,4,6,2,1,0,1,2,3,Yes,No,5441.54
4,186,Apartment,Tier_2,3,3,2,0,0,0,2,3,No,Yes,2401.57
5,151,Independent House,Tier_1,1,6,1,1,1,1,1,3,No,No,4146.61
6,780,Independent House,Tier_1,7,2,2,0,1,0,2,2,Yes,Yes,7698.93
7,100,Apartment,Tier_1,6,4,3,0,0,1,4,3,Yes,No,4948.91
8,694,Apartment,Tier_2,7,1,0,0,0,1,1,3,Yes,Yes,4732.99
9,201,Independent House,Tier_2,6,4,3,0,0,1,4,3,No,No,5482.0
10,546,Apartment,Tier_1,5,5,2,1,1,0,2,2,Yes,No,7141.05
11,294,Apartment,Tier_1,1,5,0,1,1,0,2,3,No,No,3508.01
12,410,Independent House,Tier_1,5,2,3,1,0,0,1,1,Yes,No,5722.95
13,538,Independent House,Tier_1,7,1,3,1,1,1,0,2,Yes,No,8720.25
14,167,Villa,Tier_1,6,5,1,0,1,1,1,1,Yes,Yes,2781.94
15,452,Apartment,Tier_2,6,4,3,1,0,1,0,3,Yes,No,7766.34
16,179,Independent House,Tier_3,6,4,2,1,1,0,0,1,No,Yes,2421.3
17,743,Apartment,Tier_3,3,2,0,0,0,0,1,3,No,Yes,5250.7
18,210,Apartment,Tier_3,6,6,2,1,1,0,2,1,Yes,No,4356.78
19,741,Independent House,Tier_2,1,5,3,0,1,0,4,1,Yes,Yes,7919.04
20,388,Villa,Tier_3,2,3,2,0,1,1,2,1,Yes,No,6117.74
21,849,Independent House,Tier_3,3,5,3,0,0,1,0,1,Yes,Yes,8536.71
22,423,Independent House,Tier_3,1,2,1,0,1,1,3,2,Yes,No,5756.61
23,571,Apartment,Tier_3,4,5,2,1,1,0,4,2,No,Yes,6377.2
24,493,Villa,Tier_1,1,1,2,1,1,1,2,3,Yes,Yes,5970.21
25,885,Independent House,Tier_2,7,2,1,1,1,1,3,3,Yes,Yes,8257.8
26,465,Apartment,Tier_3,1,3,2,0,0,1,3,3,Yes,Yes,5164.68
27,271,Independent House,Tier_1,2,4,3,1,1,0,4,1,Yes,No,6020.62
28,356,Apartment,Tier_3,3,5,1,0,0,1,0,2,Yes,Yes,3813.74
29,240,Independent House,Tier_3,4,6,2,1,1,0,3,2,Yes,No,5141.75
30,539,Villa,Tier_3,6,4,3,1,0,1,3,3,Yes,No,8631.55
31,393,Independent House,Tier_3,3,2,3,0,1,1,4,3,Yes,No,7735.53
32,101,Apartment,Tier_3,3,4,0,1,1,0,1,2,Yes,No,2600.84
33,332,Independent House,Tier_1,4,6,0,1,1,1,4,3,No,Yes,2714.99
34,827,Villa,Tier_3,7,6,0,1,0,1,0,3,No,Yes,6070.3
35,640,Villa,Tier_1,4,6,1,1,0,0,2,3,Yes,No,6667.71
36,554,Villa,Tier_3,2,6,3,0,0,0,2,3,No,Yes,6407.16
37,138,Villa,Tier_2,7,1,1,1,1,1,3,2,No,Yes,2655.04
38,590,Apartment,Tier_1,5,6,1,0,0,1,3,2,Yes,No,6262.11
39,761,Independent House,Tier_3,2,2,1,0,1,1,3,2,Yes,Yes,7148.93
40,555,Villa,Tier_1,7,2,1,0,0,1,2,1,Yes,No,7071.22
41,779,Independent House,Tier_3,7,5,1,1,1,1,2,2,Yes,Yes,6954.74
42,862,Apartment,Tier_3,6,2,2,0,0,0,0,3,No,Yes,7630.12
43,269,Independent House,Tier_1,4,1,0,1,1,0,1,2,Yes,No,2714.08
44,766,Independent House,Tier_3,1,5,1,1,0,0,1,3,No,Yes,4999.22
45,642,Villa,Tier_3,1,1,2,1,1,0,3,2,No,No,7494.36
46,646,Villa,Tier_3,3,3,2,1,1,0,0,2,Yes,No,7551.09
47,323,Apartment,Tier_3,3,5,3,0,1,1,1,3,Yes,Yes,5790.74
48,584,Independent House,Tier_3,5,2,1,0,1,0,3,1,No,Yes,4455.3
49,210,Apartment,Tier_3,7,2,0,0,0,0,1,1,Yes,Yes,610.92
50,564,Apartment,Tier_1,5,2,3,1,1,1,1,1,Yes,No,8052.15
51,898,Apartment,Tier_2,5,3,1,0,1,1,2,1,No,Yes,6991.21
52,726,Villa,Tier_3,5,1,3,1,0,1,0,2,Yes,Yes,7299.53
53,100,Villa,Tier_1,1,2,0,1,1,1,2,2,Yes,No,3022.61
54,246,Independent House,Tier_2,7,6,0,1,0,0,3,3,No,No,2421.99
55,353,Independent House,Tier_1,4,4,1,0,1,1,1,2,No,No,5279.33
56,467,Independent House,Tier_2,6,6,0,0,0,1,2,2,No,No,5028.21
57,680,Villa,Tier_2,6,2,0,0,1,1,2,1,Yes,Yes,4382.68
58,395,Villa,Tier_2,5,5,0,1,0,0,2,2,No,No,4082.33
59,93,Apartment,Tier_1,7,5,1,1,0,1,1,2,Yes,Yes,1565.98
60,321,Villa,Tier_2,2,4,3,1,0,0,1,1,No,Yes,4113.72
61,856,Apartment,Tier_3,6,3,3,0,1,0,3,2,Yes,Yes,8681.97
62,425,Apartment,Tier_3,5,5,3,1,1,1,2,2,No,No,7617.69
63,644,Villa,Tier_2,1,3,3,1,1,0,1,1,Yes,Yes,7067.84
64,419,Apartment,Tier_2,3,3,3,0,0,0,3,3,No,No,6134.5
65,171,Apartment,Tier_3,2,4,3,1,1,0,3,3,Yes,No,5904.03
66,446,Independent House,Tier_1,5,5,3,0,0,1,2,2,Yes,No,7614.27
67,534,Apartment,Tier_1,1,6,0,1,0,1,3,2,No,Yes,4242.25
68,507,Villa,Tier_3,3,2,3,0,1,0,4,1,No,No,7557.71
69,588,Villa,Tier_1,5,6,0,0,1,1,0,2,No,No,5448.03
70,855,Apartment,Tier_1,1,6,2,0,0,0,3,3,No,Yes,7502.11
71,114,Independent House,Tier_2,1,6,1,0,1,0,0,2,No,Yes,1332.9
72,285,Villa,Tier_1,4,3,0,1,1,0,3,1,Yes,No,3263.5
73,160,Villa,Tier_3,1,3,1,0,1,1,2,3,Yes,No,4752.33
74,641,Independent House,Tier_1,5,5,1,1,1,1,0,3,No,No,7413.58
75,467,Apartment,Tier_2,7,5,2,0,1,1,0,2,No,No,6639.28
76,81,Villa,Tier_3,1,6,3,0,0,1,0,1,No,No,3741.87
77,469,Apartment,Tier_3,2,4,2,1,1,1,0,2,No,No,7318.81
78,645,Apartment,Tier_3,1,1,0,1,0,1,3,1,No,Yes,4769.76
79,185,Apartment,Tier_2,1,6,0,1,0,0,0,3,Yes,Yes,467.23
80,851,Apartment,Tier_3,6,6,0,0,0,0,2,3,Yes,No,6576.21
81,556,Villa,Tier_2,2,1,1,1,1,1,2,2,No,Yes,6272.63
82,782,Independent House,Tier_2,5,1,3,1,1,1,4,3,No,Yes,9610.96
83,481,Villa,Tier_1,3,3,3,0,1,1,2,3,No,No,7768.48
84,809,Independent House,Tier_3,4,4,3,0,1,0,3,2,No,Yes,7962.84
85,635,Apartment,Tier_1,6,1,2,0,1,1,2,1,Yes,No,8714.99
86,241,Independent House,Tier_1,3,6,2,1,0,0,1,3,No,Yes,3178.54
87,281,Apartment,Tier_2,5,5,0,0,0,1,0,1,No,No,2685.61
88,349,Villa,Tier_1,5,6,3,1,0,1,2,3,No,Yes,4904.43
89,895,Villa,Tier_1,6,3,3,1,0,1,3,3,Yes,Yes,9789.32
90,350,Independent House,Tier_1,2,3,2,0,1,0,2,3,Yes,No,5141.25
91,535,Apartment,Tier_3,3,6,1,0,0,1,3,2,Yes,No,6004.46
92,541,Apartment,Tier_1,1,5,3,0,1,0,1,3,Yes,No,7828.9
93,806,Independent House,Tier_2,2,4,0,1,0,1,0,1,Yes,No,7299.76
