house_id,monthly_units,house_type,city,family_members,rooms,ac_count,refrigerator,washing_machine,geyser,laptop_count,tv_count,work_from_home,solar_panel,electricity_bill,total_appliances,units_per_member,bill_per_unit,room_density,consumption_category,energy_efficiency_score
1,182,Villa,Tier_2,1,1,2,1,1,0,2,2,Yes,No,4205.14,8,182.0,23.105164835164835,1.0,Low,0.0
2,515,Apartment,Tier_1,6,6,0,0,0,0,4,2,No,Yes,4286.18,6,85.83333333333333,8.322679611650486,1.0,High,16.773203883495142
3,350,Independent House,Tier_3,4,6,2,1,0,1,2,3,Yes,No,5441.54,9,87.5,15.547257142857143,0.6666666666666666,Medium,0.0
4,186,Apartment,Tier_2,3,3,2,0,0,0,2,3,No,Yes,2401.57,7,62.0,12.911666666666667,1.0,Low,0.0
5,151,Independent House,Tier_1,1,6,1,1,1,1,1,3,No,No,4146.61,8,151.0,27.46099337748344,0.16666666666666666,Low,0.0
6,780,Independent House,Tier_1,7,2,2,0,1,0,2,2,Yes,Yes,7698.93,7,111.42857142857143,9.870423076923077,3.5,Very High,0.0
7,100,Apartment,Tier_1,6,4,3,0,0,1,4,3,Yes,No,4948.91,11,16.666666666666668,49.4891,1.5,Low,0.0
8,694,Apartment,Tier_2,7,1,0,0,0,1,1,3,Yes,Yes,4732.99,5,99.14285714285714,6.819870317002882,7.0,Very High,31.80129682997118
9,201,Independent House,Tier_2,6,4,3,0,0,1,4,3,No,No,5482.0,11,33.5,27.27363184079602,1.5,Medium,0.0
10,546,Apartment,Tier_1,5,5,2,1,1,0,2,2,Yes,No,7141.05,8,109.2,13.078846153846154,1.0,High,0.0
11,294,Apartment,Tier_1,1,5,0,1,1,0,2,3,No,No,3508.01,7,294.0,11.932006802721089,0.2,Medium,0.0
12,410,Independent House,Tier_1,5,2,3,1,0,0,1,1,Yes,No,5722.95,6,82.0,13.95841463414634,2.5,High,0.0
13,538,Independent House,Tier_1,7,1,3,1,1,1,0,2,Yes,No,8720.25,8,76.85714285714286,16.20864312267658,7.0,High,0.0
14,167,Villa,Tier_1,6,5,1,0,1,1,1,1,Yes,Yes,2781.94,5,27.833333333333332,16.658323353293415,1.2,Low,0.0
15,452,Apartment,Tier_2,6,4,3,1,0,1,0,3,Yes,No,7766.34,8,75.33333333333333,17.18216814159292,1.5,High,0.0
16,179,Independent House,Tier_3,6,4,2,1,1,0,0,1,No,Yes,2421.3,5,29.833333333333332,13.526815642458102,1.5,Low,0.0
17,743,Apartment,Tier_3,3,2,0,0,0,0,1,3,No,Yes,5250.7,4,247.66666666666666,7.066890982503365,1.5,Very High,29.33109017496635
18,210,Apartment,Tier_3,6,6,2,1,1,0,2,1,Yes,No,4356.78,7,35.0,20.74657142857143,1.0,Medium,0.0
19,741,Independent House,Tier_2,1,5,3,0,1,0,4,1,Yes,Yes,7919.04,9,741.0,10.686963562753036,0.2,Very High,0.0
20,388,Villa,Tier_3,2,3,2,0,1,1,2,1,Yes,No,6117.74,7,194.0,15.767371134020618,0.6666666666666666,Medium,0.0
