student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,final_grade,productivity_score,total_screen_time,sleep_quality,exercise_level,stress_category,focus_efficiency,lifestyle_balance_score
1,23,Female,4.35,3.63,3.38,2.73,1.83,5.26,6,347,111,2,57.21,10,57,81.87,33.78,13.2,Poor,High,High,13.10344827586207,-12.239999999999998
2,20,Male,6.14,6.58,5.48,1.51,3.13,1.73,13,403,28,10,91.27,10,49,60.9,48.99,11.850000000000001,Good,Low,High,7.980456026058632,-7.756666666666668
3,29,Female,4.98,3.26,4.83,3.63,0.18,4.71,1,419,102,8,63.14,2,38,86.22,36.6,13.350000000000001,Poor,High,Low,7.630522088353413,-5.4300000000000015
4,27,Female,3.19,4.58,10.06,3.95,5.75,2.52,9,178,28,18,40.51,6,50,71.77,19.87,22.28,Poor,Low,Moderate,15.673981191222571,-18.186666666666667
5,24,Male,7.67,6.21,3.02,1.59,5.46,5.65,8,436,105,7,45.53,6,41,90.13,52.9,15.72,Good,High,Moderate,5.345501955671447,-5.800000000000001
6,29,Other,7.18,3.52,4.02,3.74,1.42,0.16,10,392,12,3,47.58,10,70,59.48,47.31,9.34,Poor,Low,High,9.749303621169917,-11.899999999999999
7,21,Female,9.06,6.36,11.45,5.99,2.2,4.44,14,87,28,15,43.5,8,35,62.71,41.23,24.08,Good,Low,High,3.8631346578366443,-18.426666666666662
8,23,Female,6.37,4.86,3.31,1.37,4.36,5.13,2,152,103,17,75.22,6,59,52.22,53.81,14.169999999999998,Poor,High,Moderate,9.262166405023548,-7.016666666666664
9,26,Male,4.19,4.87,9.66,2.87,0.1,3.38,13,460,42,11,44.79,3,39,76.15,25.99,16.01,Poor,Medium,Low,9.307875894988065,-7.870000000000001
10,19,Female,7.28,9.56,2.13,0.81,1.35,2.55,7,416,107,6,79.15,10,73,88.53,73.18,6.84,Excellent,High,High,10.027472527472527,5.846666666666668
11,23,Male,6.38,7.83,7.25,1.72,3.08,1.36,12,124,46,2,54.99,10,82,76.52,55.34,13.41,Good,Medium,High,12.852664576802509,-6.216666666666665
12,27,Male,6.36,9.51,1.56,3.46,2.18,0.2,11,215,75,13,86.6,10,92,97.36,77.35,7.3999999999999995,Excellent,High,High,14.465408805031446,4.12
13,27,Male,8.57,7.03,5.21,7.8,0.66,5.38,8,199,26,3,77.02,3,86,53.59,78.35,19.05,Good,Low,Low,10.035005834305718,-7.123333333333333
14,24,Male,9.15,9.35,11.49,5.59,3.33,0.57,11,496,48,7,93.99,4,78,97.9,76.03,20.979999999999997,Excellent,Medium,Moderate,8.524590163934425,-4.679999999999996
15,21,Male,2.21,8.86,7.89,7.45,4.93,5.5,4,58,114,6,67.85,8,96,49.08,47.86,25.77,Excellent,High,High,43.43891402714932,-12.25
16,20,Other,3.48,9.98,2.89,0.84,1.39,3.49,4,188,118,10,63.49,5,97,58.24,67.31,8.61,Excellent,High,Moderate,27.873563218390803,10.283333333333335
17,24,Female,6.68,6.52,9.8,7.54,1.34,3.08,12,104,31,1,59.7,2,87,73.23,59.99,21.759999999999998,Good,Medium,Low,13.023952095808383,-9.686666666666666
18,24,Male,5.79,7.87,8.03,4.09,0.42,4.52,1,57,65,4,50.91,10,77,56.26,49.36,17.06,Good,High,High,13.298791018998273,-9.153333333333332
19,19,Male,6.7,4.12,11.17,2.26,3.33,2.94,2,168,71,19,60.01,8,80,79.47,42.69,19.7,Poor,High,High,11.940298507462686,-17.093333333333334
20,22,Female,4.61,9.58,3.13,6.76,2.43,2.27,3,499,27,5,40.5,4,32,62.96,47.04,14.59,Excellent,Low,Moderate,6.941431670281995,1.4699999999999989
21,21,Male,4.42,5.79,1.89,4.81,3.79,5.98,13,103,31,19,94.71,10,70,60.95,52.6,16.47,Poor,Medium,High,15.83710407239819,-13.856666666666666
22,18,Female,1.62,9.42,7.8,0.73,0.21,4.86,4,159,50,4,98.42,7,33,84.31,32.6,13.600000000000001,Excellent,Medium,Moderate,20.37037037037037,-0.09333333333333371
23,24,Female,6.42,3.7,11.01,4.28,3.84,4.09,2,235,61,1,94.13,8,47,82.13,35.45,23.22,Poor,High,High,7.320872274143302,-21.786666666666665
24,28,Female,2.17,6.61,9.44,5.14,5.59,5.93,3,169,85,9,44.19,6,65,81.6,27.4,26.099999999999998,Good,High,Moderate,29.953917050691246,-16.046666666666663
25,22,Male,6.87,3.01,5.23,0.14,4.93,0.38,3,72,17,14,48.52,9,61,84.8,40.96,10.680000000000001,Poor,Low,High,8.879184861717613,-13.093333333333335
